Price,Close
Ticker,BMRI.JK
Date,
2021-01-04,2221.278076171875
2021-01-05,2195.6484375
2021-01-06,2195.6484375
2021-01-07,2212.734619140625
2021-01-08,2238.364990234375
2021-01-11,2340.885498046875
2021-01-12,2375.05908203125
2021-01-13,2366.515625
2021-01-14,2340.885498046875
2021-01-15,2298.168701171875
2021-01-18,2366.515625
2021-01-19,2383.60205078125
2021-01-20,2520.29638671875
2021-01-21,2477.57958984375
2021-01-22,2460.49267578125
2021-01-25,2494.66650390625
2021-01-26,2520.29638671875
2021-01-27,2494.66650390625
2021-01-28,2409.232421875
2021-01-29,2246.908203125
2021-02-01,2289.625
2021-02-02,2212.734619140625
2021-02-03,2221.278076171875
2021-02-04,2246.908203125
2021-02-05,2238.364990234375
2021-02-08,2246.908203125
2021-02-09,2221.278076171875
2021-02-10,2221.278076171875
2021-02-11,2221.278076171875
2021-02-15,2221.278076171875
2021-02-16,2212.734619140625
2021-02-17,2170.017578125
2021-02-18,2135.844482421875
2021-02-19,2178.5615234375
2021-02-22,2178.5615234375
2021-02-23,2161.474609375
2021-02-24,2178.5615234375
2021-02-25,2144.387939453125
2021-02-26,2101.671142578125
2021-03-01,2246.908203125
2021-03-02,2255.451416015625
2021-03-03,2255.451416015625
2021-03-04,2238.364990234375
2021-03-05,2212.734619140625
2021-03-08,2195.6484375
2021-03-09,2195.6484375
2021-03-10,2221.278076171875
2021-03-12,2298.168701171875
2021-03-15,2272.538330078125
2021-03-16,2238.364990234375
2021-03-17,2229.8212890625
2021-03-18,2323.798828125
2021-03-19,2315.25537109375
2021-03-22,2263.995361328125
2021-03-23,2281.08203125
2021-03-24,2270.576171875
2021-03-25,2261.740966796875
2021-03-26,2270.576171875
2021-03-29,2252.90625
2021-03-30,2235.236083984375
2021-03-31,2173.391845703125
2021-04-01,2191.0615234375
2021-04-05,2199.896240234375
2021-04-06,2217.566162109375
2021-04-07,2235.236083984375
2021-04-08,2217.566162109375
2021-04-09,2288.245849609375
2021-04-12,2226.401123046875
2021-04-13,2226.401123046875
2021-04-14,2235.236083984375
2021-04-15,2226.401123046875
2021-04-16,2226.401123046875
2021-04-19,2199.896240234375
2021-04-20,2191.0615234375
2021-04-21,2164.556884765625
2021-04-22,2164.556884765625
2021-04-23,2173.391845703125
2021-04-26,2111.54736328125
2021-04-27,2138.052001953125
2021-04-28,2191.0615234375
2021-04-29,2199.896240234375
2021-04-30,2182.226806640625
2021-05-03,2138.052001953125
2021-05-04,2155.7216796875
2021-05-05,2138.052001953125
2021-05-06,2146.88720703125
2021-05-07,2102.71240234375
2021-05-10,2111.54736328125
2021-05-11,2085.04248046875
2021-05-17,2093.877197265625
2021-05-18,2085.04248046875
2021-05-19,2005.5281982421875
2021-05-20,1996.6932373046875
2021-05-21,2058.537841796875
2021-05-24,2032.03271484375
2021-05-25,2085.04248046875
2021-05-27,2032.03271484375
2021-05-28,2049.70263671875
2021-05-31,2120.38232421875
2021-06-02,2155.7216796875
2021-06-03,2208.7314453125
2021-06-04,2164.556884765625
2021-06-07,2164.556884765625
2021-06-08,2120.38232421875
2021-06-09,2173.391845703125
2021-06-10,2191.0615234375
2021-06-11,2217.566162109375
2021-06-14,2217.566162109375
2021-06-15,2235.236083984375
2021-06-16,2217.566162109375
2021-06-17,2191.0615234375
2021-06-18,2191.0615234375
2021-06-21,2129.21728515625
2021-06-22,2182.226806640625
2021-06-23,2129.21728515625
2021-06-24,2111.54736328125
2021-06-25,2085.04248046875
2021-06-28,2014.363037109375
2021-06-29,2040.8677978515625
2021-06-30,2085.04248046875
2021-07-01,2111.54736328125
2021-07-02,2102.71240234375
2021-07-05,2067.37255859375
2021-07-06,2040.8677978515625
2021-07-07,2032.03271484375
2021-07-08,2085.04248046875
2021-07-09,2040.8677978515625
2021-07-12,2049.70263671875
2021-07-13,2040.8677978515625
2021-07-14,2014.363037109375
2021-07-15,2076.20751953125
2021-07-16,2076.20751953125
2021-07-19,2032.03271484375
2021-07-21,2093.877197265625
2021-07-22,2138.052001953125
2021-07-23,2111.54736328125
2021-07-26,2049.70263671875
2021-07-27,2058.537841796875
2021-07-28,2085.04248046875
2021-07-29,2032.03271484375
2021-07-30,2014.363037109375
2021-08-02,2005.5281982421875
2021-08-03,2040.8677978515625
2021-08-04,2058.537841796875
2021-08-05,2138.052001953125
2021-08-06,2111.54736328125
2021-08-09,2049.70263671875
2021-08-10,2049.70263671875
2021-08-12,2093.877197265625
2021-08-13,2120.38232421875
2021-08-16,2111.54736328125
2021-08-18,2138.052001953125
2021-08-19,2067.37255859375
2021-08-20,2085.04248046875
2021-08-23,2111.54736328125
2021-08-24,2058.537841796875
2021-08-25,2102.71240234375
2021-08-26,2058.537841796875
2021-08-27,2049.70263671875
2021-08-30,2102.71240234375
2021-08-31,2155.7216796875
2021-09-01,2120.38232421875
2021-09-02,2138.052001953125
2021-09-03,2164.556884765625
2021-09-06,2191.0615234375
2021-09-07,2208.7314453125
2021-09-08,2208.7314453125
2021-09-09,2244.0712890625
2021-09-10,2191.0615234375
2021-09-13,2173.391845703125
2021-09-14,2155.7216796875
2021-09-15,2164.556884765625
2021-09-16,2173.391845703125
2021-09-17,2138.052001953125
2021-09-20,2129.21728515625
2021-09-21,2111.54736328125
2021-09-22,2146.88720703125
2021-09-23,2146.88720703125
2021-09-24,2111.54736328125
2021-09-27,2085.04248046875
2021-09-28,2102.71240234375
2021-09-29,2120.38232421875
2021-09-30,2173.391845703125
