Price,Close
Ticker,BBCA.JK
Date,
2021-01-04,5775.54248046875
2021-01-05,5991.01708984375
2021-01-06,5868.49169921875
2021-01-07,5885.392578125
2021-01-08,5957.21728515625
2021-01-11,6206.49072265625
2021-01-12,6050.1669921875
2021-01-13,6016.36572265625
2021-01-14,5931.86669921875
2021-01-15,5876.9423828125
2021-01-18,6016.36572265625
2021-01-19,5995.24169921875
2021-01-20,5995.24169921875
2021-01-21,5978.34228515625
2021-01-22,5982.56591796875
2021-01-25,5944.54150390625
2021-01-26,5762.86865234375
2021-01-27,5737.51806640625
2021-01-28,5830.4677734375
2021-01-29,5712.16796875
2021-02-01,5762.86865234375
2021-02-02,5745.96826171875
2021-02-03,5767.09375
2021-02-04,5792.44287109375
2021-02-05,5843.142578125
2021-02-08,5847.3671875
2021-02-09,5898.06787109375
2021-02-10,5847.3671875
2021-02-11,5813.56787109375
2021-02-15,5745.96826171875
2021-02-16,5864.26708984375
2021-02-17,5830.4677734375
2021-02-18,5691.04345703125
2021-02-19,5767.09375
2021-02-22,5737.51806640625
2021-02-23,5767.09375
2021-02-24,5682.59326171875
2021-02-25,5665.69384765625
2021-02-26,5669.91845703125
2021-03-01,5952.99169921875
2021-03-02,5927.642578125
2021-03-03,5914.966796875
2021-03-04,5678.369140625
2021-03-05,5745.96826171875
2021-03-08,5678.369140625
2021-03-09,5581.1943359375
2021-03-10,5665.69384765625
2021-03-12,5716.39306640625
2021-03-15,5631.8935546875
2021-03-16,5598.09326171875
2021-03-17,5585.4189453125
2021-03-18,5665.69384765625
2021-03-19,5712.16796875
2021-03-22,5593.86962890625
2021-03-23,5547.3935546875
2021-03-24,5441.76953125
2021-03-25,5382.62109375
2021-03-26,5420.64453125
2021-03-29,5374.17041015625
2021-03-30,5403.74462890625
2021-03-31,5251.6455078125
2021-04-01,5260.09619140625
2021-04-05,5200.94580078125
2021-04-06,5209.39599609375
2021-04-07,5281.22119140625
2021-04-08,5256.71533203125
