Price,Close
Ticker,BBRI.JK
Date,
2021-01-04,2721.571044921875
2021-01-05,2696.312744140625
2021-01-06,2652.11083984375
2021-01-07,2702.626708984375
2021-01-08,2772.087158203125
2021-01-11,2936.265625
2021-01-12,2980.467529296875
2021-01-13,3024.6689453125
2021-01-14,3012.040283203125
2021-01-15,2892.0634765625
2021-01-18,2917.321533203125
2021-01-19,2917.321533203125
2021-01-20,3087.81494140625
2021-01-21,3024.6689453125
2021-01-22,2980.467529296875
2021-01-25,3018.3544921875
2021-01-26,2936.265625
2021-01-27,2917.321533203125
2021-01-28,2822.603759765625
2021-01-29,2639.48193359375
2021-02-01,2778.4013671875
2021-02-02,2753.143798828125
2021-02-03,2765.772705078125
2021-02-04,2835.232421875
2021-02-05,2822.603759765625
2021-02-08,2816.2890625
2021-02-09,2917.321533203125
2021-02-10,2936.265625
2021-02-11,2955.20947265625
2021-02-15,2974.152587890625
2021-02-16,2948.894775390625
2021-02-17,2923.63623046875
2021-02-18,2948.894775390625
2021-02-19,3024.6689453125
2021-02-22,3024.6689453125
2021-02-23,3024.6689453125
2021-02-24,2986.78173828125
2021-02-25,2986.78173828125
2021-02-26,2974.152587890625
2021-03-01,3049.927001953125
2021-03-02,3030.98388671875
2021-03-03,3062.556640625
2021-03-04,3005.7255859375
2021-03-05,3012.040283203125
2021-03-08,2986.78173828125
2021-03-09,2892.0634765625
2021-03-10,2923.63623046875
2021-03-12,2892.0634765625
2021-03-15,2885.748779296875
2021-03-16,2980.467529296875
2021-03-17,2948.894775390625
2021-03-18,3005.7255859375
2021-03-19,2948.894775390625
2021-03-22,2923.63623046875
2021-03-23,2948.894775390625
2021-03-24,2948.894775390625
2021-03-25,2917.321533203125
2021-03-26,2980.467529296875
2021-03-29,2980.467529296875
2021-03-30,2841.547119140625
2021-03-31,2778.4013671875
2021-04-01,2708.94189453125
2021-04-05,2652.11083984375
2021-04-06,2716.071533203125
2021-04-07,2716.071533203125
2021-04-08,2813.073974609375
2021-04-09,2813.073974609375
2021-04-12,2722.5380859375
2021-04-13,2690.203857421875
2021-04-14,2813.073974609375
2021-04-15,2851.875
2021-04-16,2806.607421875
2021-04-19,2832.474609375
2021-04-20,2787.206787109375
2021-04-21,2735.4716796875
2021-04-22,2716.071533203125
2021-04-23,2748.405517578125
2021-04-26,2677.27001953125
2021-04-27,2696.6708984375
2021-04-28,2670.8037109375
2021-04-29,2690.203857421875
2021-04-30,2619.06884765625
2021-05-03,2593.201171875
2021-05-04,2625.535888671875
2021-05-05,2644.93603515625
2021-05-06,2657.8701171875
2021-05-07,2619.06884765625
2021-05-10,2619.06884765625
2021-05-11,2580.267578125
2021-05-17,2522.066162109375
2021-05-18,2522.066162109375
2021-05-19,2502.66552734375
2021-05-20,2509.1328125
2021-05-21,2515.599853515625
2021-05-24,2612.60205078125
2021-05-25,2625.535888671875
2021-05-27,2554.400634765625
2021-05-28,2632.002685546875
2021-05-31,2754.8720703125
2021-06-02,2754.8720703125
2021-06-03,2819.541015625
2021-06-04,2806.607421875
2021-06-07,2748.405517578125
2021-06-08,2716.071533203125
2021-06-09,2729.005126953125
2021-06-10,2780.739501953125
2021-06-11,2767.805908203125
2021-06-14,2813.073974609375
2021-06-15,2735.4716796875
2021-06-16,2593.201171875
2021-06-17,2606.13525390625
2021-06-18,2528.533203125
2021-06-21,2547.93359375
2021-06-22,2612.60205078125
2021-06-23,2547.93359375
2021-06-24,2580.267578125
2021-06-25,2580.267578125
2021-06-28,2541.467041015625
2021-06-29,2522.066162109375
2021-06-30,2547.93359375
2021-07-01,2547.93359375
