Price,Close
Ticker,BBNI.JK
Date,
2021-01-04,2400.480224609375
2021-01-05,2447.54833984375
2021-01-06,2409.893798828125
2021-01-07,2419.307373046875
2021-01-08,2438.134521484375
2021-01-11,2456.9619140625
2021-01-12,2447.54833984375
2021-01-13,2456.9619140625
2021-01-14,2428.72119140625
2021-01-15,2381.652587890625
2021-01-18,2372.239013671875
2021-01-19,2343.998291015625
2021-01-20,2419.307373046875
2021-01-21,2419.307373046875
2021-01-22,2362.825439453125
2021-01-25,2343.998291015625
2021-01-26,2287.5166015625
2021-01-27,2249.86181640625
2021-01-28,2174.552490234375
2021-01-29,2089.82958984375
2021-02-01,2202.79345703125
2021-02-02,2221.620361328125
2021-02-03,2372.239013671875
2021-02-04,2362.825439453125
2021-02-05,2372.239013671875
2021-02-08,2372.239013671875
2021-02-09,2343.998291015625
2021-02-10,2334.58447265625
2021-02-11,2334.58447265625
2021-02-15,2343.998291015625
2021-02-16,2391.06640625
2021-02-17,2315.757080078125
2021-02-18,2268.689208984375
2021-02-19,2259.275390625
2021-02-22,2231.034423828125
2021-02-23,2240.4482421875
2021-02-24,2287.5166015625
2021-02-25,2287.5166015625
2021-02-26,2240.4482421875
2021-03-01,2343.998291015625
2021-03-02,2315.757080078125
2021-03-03,2268.689208984375
2021-03-04,2259.275390625
2021-03-05,2259.275390625
2021-03-08,2259.275390625
2021-03-09,2249.86181640625
2021-03-10,2278.102783203125
2021-03-12,2315.757080078125
2021-03-15,2381.652587890625
2021-03-16,2343.998291015625
2021-03-17,2296.929931640625
2021-03-18,2362.825439453125
2021-03-19,2315.757080078125
2021-03-22,2296.929931640625
2021-03-23,2296.929931640625
2021-03-24,2240.4482421875
2021-03-25,2221.620361328125
2021-03-26,2278.102783203125
2021-03-29,2278.102783203125
2021-03-30,2183.96630859375
2021-03-31,2155.72509765625
2021-04-01,2136.89794921875
2021-04-05,2165.138916015625
2021-04-06,2193.3798828125
2021-04-07,2174.552490234375
2021-04-08,2200.7421875
2021-04-09,2276.630126953125
2021-04-12,2219.71435546875
2021-04-13,2200.7421875
2021-04-14,2238.686279296875
2021-04-15,2267.144287109375
2021-04-16,2257.657958984375
2021-04-19,2229.2001953125
2021-04-20,2248.17236328125
2021-04-21,2191.25634765625
2021-04-22,2153.3125
2021-04-23,2191.25634765625
2021-04-26,2172.284423828125
2021-04-27,2238.686279296875
2021-04-28,2210.228271484375
2021-04-29,2229.2001953125
2021-04-30,2162.798583984375
2021-05-03,2115.368408203125
2021-05-04,2134.3408203125
2021-05-05,2153.3125
2021-05-06,2162.798583984375
2021-05-07,2124.854736328125
2021-05-10,2115.368408203125
2021-05-11,2096.39697265625
2021-05-17,2086.910888671875
2021-05-18,2067.939208984375
2021-05-19,1992.051513671875
2021-05-20,1992.051513671875
2021-05-21,2020.5091552734375
2021-05-24,2011.0233154296875
2021-05-25,2020.5091552734375
2021-05-27,1954.1075439453125
2021-05-28,1973.0794677734375
2021-05-31,2048.967041015625
2021-06-02,2105.8828125
2021-06-03,2181.770263671875
2021-06-04,2134.3408203125
2021-06-07,2096.39697265625
2021-06-08,2096.39697265625
2021-06-09,2134.3408203125
2021-06-10,2153.3125
2021-06-11,2153.3125
2021-06-14,2105.8828125
2021-06-15,2096.39697265625
2021-06-16,2039.48095703125
2021-06-17,1992.051513671875
2021-06-18,1874.425537109375
2021-06-21,1885.808349609375
2021-06-22,1878.2197265625
2021-06-23,1840.2760009765625
2021-06-24,1828.8927001953125
2021-06-25,1806.12646484375
2021-06-28,1737.8275146484375
2021-06-29,1737.8275146484375
2021-06-30,1756.7994384765625
2021-07-01,1783.3602294921875
2021-07-02,1832.6871337890625
2021-07-05,1790.9490966796875
2021-07-06,1787.154541015625
2021-07-07,1794.7431640625
2021-07-08,1806.12646484375
2021-07-09,1760.593994140625
2021-07-12,1783.3602294921875
2021-07-13,1771.97705078125
2021-07-14,1737.8275146484375
2021-07-15,1790.9490966796875
2021-07-16,1825.0985107421875
2021-07-19,1828.8927001953125
2021-07-21,1859.247802734375
2021-07-22,1954.1075439453125
2021-07-23,1925.649658203125
2021-07-26,1916.1634521484375
2021-07-27,1906.6776123046875
2021-07-28,1882.014404296875
2021-07-29,1870.6309814453125
2021-07-30,1813.7152099609375
2021-08-02,1828.8927001953125
2021-08-03,1878.2197265625
2021-08-04,1916.1634521484375
2021-08-05,1973.0794677734375
2021-08-06,1944.6212158203125
2021-08-09,1889.602783203125
2021-08-10,1893.397216796875
2021-08-12,1925.649658203125
2021-08-13,1935.1353759765625
2021-08-16,1954.1075439453125
2021-08-18,2058.453125
2021-08-19,2011.0233154296875
2021-08-20,2058.453125
