Price,BBCA_Close,BBCA_High,BBCA_Low,BBCA_Open,BBCA_Volume,BBRI_Close,BBRI_High,BBRI_Low,BBRI_Open,BBRI_Volume,BMRI_Close,BMRI_High,BMRI_Low,BMRI_Open,BMRI_Volume,BBNI_Close,BBNI_High,BBNI_Low,BBNI_Open,BBNI_Volume,BBTN_Close,BBTN_High,BBTN_Low,BBTN_Open,BBTN_Volume
Ticker,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12,8498.9443359375,8545.899829506216,8451.988842368784,8451.988842368784,71064500,4601.77294921875,4666.89237774543,4580.06647304319,4601.77294921875,174022400,5251.13720703125,5337.575679574974,5229.527588895318,5251.13720703125,91341800,4664.32763671875,4751.920643981074,4554.836377640845,4554.836377640845,71485100,1128.8819580078125,1142.4829454536898,1124.3482955258535,1124.3482955258535,6895000
2023-10-13,8522.4228515625,8569.378349367253,8475.467353757747,8545.900600464876,62941800,4580.06689453125,4623.4798508775175,4558.360416358116,4580.06689453125,84648800,5251.13720703125,5315.966061439043,5207.917970759388,5251.13720703125,39914700,4532.9384765625,4708.12450464221,4532.9384765625,4686.226251132247,49138900,1128.8819580078125,1137.9492829717308,1119.8146330438944,1128.8819580078125,7336100
2023-10-16,8545.900390625,8569.378138950893,8498.944893973214,8569.378138950893,29429200,4558.3603515625,4623.47978515625,4558.3603515625,4623.47978515625,45782300,5207.91748046875,5251.13671267181,5164.6982482656895,5207.91748046875,53416400,4554.83642578125,4620.531181922326,4511.039921687199,4554.83642578125,35029400,1119.814697265625,1128.882022749557,1115.281034523659,1124.348360007591,6486300
2023-10-17,8405.0341796875,8522.422925213861,8405.0341796875,8498.94517610859,59606000,4471.5341796875,4580.066562689623,4471.5341796875,4558.360086089199,127287200,5186.30859375,5207.918212890625,5121.479736328125,5186.30859375,74702300,4554.83642578125,4576.734677828275,4511.039921687199,4554.83642578125,29834000,1119.814697265625,1128.882022749557,1110.747371781693,1119.814697265625,5338000
2023-10-18,8311.1220703125,8405.033054157839,8311.1220703125,8381.555308196504,50919200,4471.5341796875,4536.653609488774,4449.827703087075,4449.827703087075,77217600,5056.650390625,5143.0888588408125,5035.040773571047,5121.479241786859,80637400,4489.1416015625,4576.734608422256,4467.243349847561,4554.836356707317,46027500,1110.747314453125,1124.3483019770408,1106.213651945153,1119.8146394690689,4446200
2023-10-19,8217.2119140625,8311.122907366072,8217.2119140625,8287.64515904018,89509700,4341.29541015625,4471.534272460937,4341.29541015625,4428.121318359375,195831400,4948.6025390625,5013.431393286026,4926.992920987991,4991.821775211517,160277800,4327.0947265625,4467.243543617156,4292.057522298836,4467.243543617156,96750500,1097.1463623046875,1115.281012921294,1092.612699650536,1110.7473502671423,17673100
2023-10-20,8428.5107421875,8475.46623378743,8193.733284187847,8193.733284187847,64554500,4384.708984375,4428.121944616337,4306.565655940594,4323.930840037129,173353600,4970.2119140625,5013.431148097826,4883.773445991847,4905.383063009511,82132000,4353.37255859375,4401.548713668731,4300.8167530574065,4327.094655825578,48517500,1097.1463623046875,1106.2136876129907,1088.0790369963843,1088.0790369963843,11902500
2023-10-23,8311.1220703125,8381.555308196504,8311.1220703125,8334.599816273834,50633500,4341.29541015625,4406.414841308594,4332.612819335937,4341.29541015625,82756100,4905.38330078125,4948.602536911481,4862.164064651019,4926.992918846366,73897500,4370.89111328125,4423.446918250564,4335.853909968374,4353.372511624812,36582200,1079.01171875,1097.1463694852941,1069.944393382353,1088.079044117647,12666200
2023-10-24,8240.689453125,8334.600444043803,8240.689453125,8240.689453125,76963200,4428.12109375,4428.12109375,4297.88223805147,4341.295189950981,104021500,4970.2119140625,5013.431148097826,4905.383063009511,4926.992680027174,72469200,4379.650390625,4445.345146484375,4353.37248828125,4379.650390625,43655100,1110.747314453125,1119.8146394690689,1069.9443518813775,1079.0116768973214,9378600
2023-10-25,8334.6005859375,8381.556082196303,8287.645089678697,8287.645089678697,54748400,4493.240234375,4514.946708937197,4428.120810688406,4428.120810688406,142215000,5056.650390625,5099.869624732906,4991.821539463142,5035.040773571047,90426500,4353.37255859375,4423.4469659755405,4344.613257671026,4423.4469659755405,49108000,1106.2137451171875,1124.3483966764857,1106.2137451171875,1110.7474080070122,7738500
