Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
4/7/2021,5512.412109,5534.461758,5410.983727,5428.623445,107908000
4/8/2021,5486.834473,5558.382436,5477.890977,5544.967193,123697500
4/9/2021,5544.967285,5652.289233,5495.778059,5647.817485,116961000
4/12/2021,5424.22998,5629.930375,5419.758233,5629.930375,110411500
4/13/2021,5366.09668,5419.757646,5348.209691,5410.814152,119211500
4/14/2021,5638.873535,5638.873535,5419.75791,5460.003637,135519500
4/15/2021,5616.515137,5643.345623,5527.080182,5638.873875,102686500
4/16/2021,5612.043457,5697.006665,5558.382484,5697.006665,79293500
4/19/2021,5607.571289,5616.514784,5571.79731,5612.043037,47095000
4/20/2021,5576.269531,5589.684775,5531.552053,5544.967297,72721000
4/21/2021,5513.665039,5567.326013,5513.665039,5544.967274,68397000
4/22/2021,5558.382324,5612.043296,5527.080091,5544.967081,63758000
4/23/2021,5714.893066,5719.364814,5567.325405,5616.514626,108498500
4/26/2021,5620.986328,5723.836516,5616.514581,5719.364768,108742000
4/27/2021,5728.308594,5755.139079,5683.591118,5697.006361,132650000
4/28/2021,5652.288574,5728.308278,5647.816827,5723.836531,87660000
4/29/2021,5732.780762,5777.49824,5688.063283,5777.49824,57355000
4/30/2021,5728.308594,5768.554322,5705.949856,5768.554322,65829500
5/3/2021,5714.893066,5795.384518,5674.647341,5795.384518,42065500
5/4/2021,5723.836914,5750.6674,5670.175943,5679.119438,50123500
5/5/2021,5746.195313,5750.66706,5723.836576,5741.723565,51685000
5/6/2021,5746.195313,5768.554049,5723.836576,5723.836576,38115500
5/7/2021,5723.836914,5777.497885,5710.421671,5777.497885,48864000
5/10/2021,5741.724121,5741.724121,5719.365382,5723.83713,68180500
5/11/2021,5795.384766,5795.384766,5638.873603,5723.836806,70680000
5/17/2021,5813.271484,5813.271484,5701.477802,5813.271484,129058500
5/18/2021,5714.893066,5773.025781,5692.53433,5723.836561,73563000
5/19/2021,5674.647949,5723.837175,5665.704454,5705.950184,64912500
5/20/2021,5705.949219,5755.138436,5679.118737,5714.892713,64950000
5/21/2021,5688.0625,5768.55395,5598.627555,5768.55395,92620000
5/24/2021,5656.760742,5705.949966,5625.458509,5683.591228,59210000
5/25/2021,5683.592285,5759.612009,5634.403052,5634.403052,87470000
5/27/2021,5607.571289,5795.384682,5607.571289,5759.610702,537971500
5/28/2021,5670.175781,5697.006266,5661.232286,5661.232286,102108500
5/31/2021,5701.478027,5714.89327,5656.760553,5688.062785,101442000
6/2/2021,5781.969727,5826.687203,5741.723998,5813.27196,141732500
6/3/2021,5902.706543,5902.706543,5750.667132,5808.799848,133810500
6/4/2021,5884.819336,5920.593314,5813.27138,5920.593314,62108500
6/7/2021,5840.102539,5875.876521,5750.667584,5866.933025,62576000
6/8/2021,5750.668457,5880.349161,5750.668457,5880.349161,64348000
6/9/2021,5840.102539,5844.574287,5688.063116,5688.063116,77198000
6/10/2021,5920.593262,5920.593262,5804.327835,5862.460548,73262500
6/11/2021,5786.441895,5884.82035,5777.498399,5875.876854,72780500
6/14/2021,5732.780762,5831.159215,5723.837266,5831.159215,61478500
6/15/2021,5786.441895,5786.441895,5728.309171,5764.083155,87799000
6/16/2021,5710.421387,5755.13886,5688.06265,5741.723618,48984000
6/17/2021,5661.232422,5714.893393,5612.043199,5714.893393,68448500
6/18/2021,5656.760742,5674.647733,5616.515014,5634.402004,118043000
6/21/2021,5589.685059,5634.402539,5553.911074,5634.402539,60823500
6/22/2021,5670.175781,5714.893256,5580.740832,5589.684327,65824000
6/23/2021,5571.797852,5670.176305,5571.797852,5629.930574,52451000
6/24/2021,5553.911133,5643.346095,5544.967637,5643.346095,56010000
6/25/2021,5536.023438,5598.627903,5536.023438,5571.797418,68939500
6/28/2021,5415.286133,5500.249334,5415.286133,5455.53186,84420500
6/29/2021,5406.343262,5446.588993,5401.871514,5410.81501,53704000
6/30/2021,5388.456055,5428.701785,5366.097316,5366.097316,65795000
7/1/2021,5388.456055,5433.173532,5366.097316,5419.758289,58153000
7/2/2021,5455.531738,5491.305717,5401.87077,5428.701254,67392500
7/5/2021,5464.475586,5482.362576,5428.701605,5455.532091,39710500
7/6/2021,5415.286133,5464.475354,5415.286133,5464.475354,34279500
7/7/2021,5424.22998,5527.080178,5392.927746,5527.080178,35595000
7/8/2021,5379.511719,5401.870454,5348.209489,5366.096478,47297000
