Price,Close,High,Low,Open,Volume
Ticker,BTPN.JK,BTPN.JK,BTPN.JK,BTPN.JK,BTPN.JK
Date,,,,,
2021-01-04,2966.521728515625,2966.521728515625,2845.2488276643576,2901.220935749558,129800
2021-01-05,2975.8505859375,2985.1792711598746,2891.8924189361287,2957.193215492751,68800
2021-01-06,2975.8505859375,3031.822697271748,2891.8924189361287,3031.822697271748,93200
2021-01-07,2975.8505859375,2985.1792711598746,2957.193215492751,2985.1792711598746,216100
2021-01-08,2975.8505859375,2985.1792711598746,2919.8784746032525,2975.8505859375,150200
2021-01-11,2985.17919921875,3013.1652542114257,2901.221034240723,2975.8505142211916,247200
2021-01-12,3003.83642578125,3031.8224794375974,2975.850372124903,3031.8224794375974,80800
2021-01-13,2985.17919921875,3003.8365692138673,2966.5218292236327,3003.8365692138673,52900
2021-01-14,2966.521728515625,3031.8225212816924,2966.521728515625,2966.521728515625,64200
2021-01-15,2910.549560546875,2957.1929829915366,2826.5914001464844,2957.1929829915366,286100
2021-01-18,2742.633544921875,2910.549884406888,2733.3048593949297,2910.549884406888,441700
2021-01-19,2779.947998046875,2798.6053671612835,2742.633259818058,2742.633259818058,44300
2021-01-20,2705.318359375,2910.5494073275863,2593.374151400862,2779.947831357759,560800
2021-01-21,2751.9619140625,2826.5913896980933,2695.989807335805,2705.318491790254,151200
2021-01-22,2695.989990234375,2826.5915814568016,2695.989990234375,2751.962100758272,132600
2021-01-25,2612.03173828125,2695.9899012974333,2565.3883143833705,2695.9899012974333,122700
2021-01-26,2593.374267578125,2658.6750584883657,2574.716898746628,2612.0316364096225,221400
2021-01-27,2556.0595703125,2584.045624002053,2518.7448320597628,2584.045624002053,63400
2021-01-28,2509.416015625,2640.0175926463753,2500.0873315520444,2556.059435989777,67900
2021-01-29,2453.444091796875,2509.4162003549786,2434.786722277507,2509.4162003549786,50600
2021-02-01,2574.71728515625,2574.71728515625,2397.472254656363,2453.444369551064,106200
2021-02-02,2574.71728515625,2612.032028419384,2574.71728515625,2593.374656787817,58300
2021-02-03,2602.703125,2630.6891801075267,2518.744959677419,2574.717069892473,41800
