Price,Close,High,Low,Open,Volume
Ticker,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK
Date,,,,,
2021-01-04,2418.155029296875,2427.4556255634016,2315.8484703650843,2362.3514516977166,61058000
2021-01-05,2390.25341796875,2436.7564027541343,2380.952821011673,2436.7564027541343,69928200
2021-01-06,2390.25341796875,2427.4558057970576,2334.449836226289,2390.25341796875,87109000
2021-01-07,2408.8544921875,2427.455685177365,2390.253299197635,2399.5538956925675,80114200
2021-01-08,2436.756591796875,2446.057189475489,2399.554201082419,2408.8547987610327,93635600
2021-01-11,2548.363525390625,2548.363525390625,2436.756363694685,2446.0569605026803,212763000
2021-01-12,2585.56591796875,2604.1671116232014,2539.0629338326216,2566.9647243142986,168626000
2021-01-13,2576.265380859375,2632.068963116257,2576.265380859375,2622.7683660734433,107392200
2021-01-14,2548.363525390625,2622.7682998545847,2539.06292858263,2622.7682998545847,70295000
2021-01-15,2501.860595703125,2576.265371783515,2464.6582076629297,2557.6641777634177,77235600
2021-01-18,2576.265380859375,2585.5659779021885,2455.357619302798,2455.357619302798,119006800
2021-01-19,2594.866455078125,2613.467648304492,2548.363472012209,2604.167051691308,77834600
2021-01-20,2743.676025390625,2771.577815479343,2604.1670749470336,2604.1670749470336,220934600
2021-01-21,2697.173095703125,2743.6760801118,2678.571901939655,2743.6760801118,82052000
2021-01-22,2678.57177734375,2734.3753560384116,2650.6699879964194,2706.4735666910806,117367200
2021-01-25,2715.7744140625,2715.7744140625,2613.4678436697345,2697.1732194456335,100647600
2021-01-26,2743.676025390625,2771.577815479343,2697.173041909428,2715.7742353019066,206712400
2021-01-27,2715.7744140625,2752.976803296233,2669.271427520334,2752.976803296233,171581400
2021-01-28,2622.768310546875,2697.173085314162,2566.9647294714096,2659.9706979305183,135745000
2021-01-29,2446.056884765625,2687.872394286181,2446.056884765625,2641.3694116860743,334227600
2021-02-01,2492.559814453125,2501.860410775711,2306.5478880013993,2473.958621807952,242540200
2021-02-02,2408.8544921875,2529.7622466216217,2380.9527027027025,2529.7622466216217,160482800
2021-02-03,2418.155029296875,2473.958606896034,2399.5538367638223,2455.3574143629808,167044600
2021-02-04,2446.056884765625,2483.2592708457105,2399.553902165518,2446.056884765625,139040400
2021-02-05,2436.756591796875,2492.560177868559,2399.554201082419,2492.560177868559,97199600
2021-02-08,2446.056884765625,2483.2592708457105,2436.7562882456036,2455.3574812856464,125050800
2021-02-09,2418.155029296875,2492.5597994290865,2399.5538367638223,2455.3574143629808,208380400
2021-02-10,2418.155029296875,2446.056818096454,2408.8544330303484,2446.056818096454,102693600
2021-02-11,2418.155029296875,2436.756221829928,2418.155029296875,2436.756221829928,35879400
2021-02-15,2418.155029296875,2446.056818096454,2418.155029296875,2436.756221829928,48995200
2021-02-16,2408.8544921875,2436.756281672297,2399.5538956925675,2418.1550886824325,63202000
2021-02-17,2362.3515625,2408.85454601378,2343.750369094488,2399.5539493110236,117413600
2021-02-18,2325.149169921875,2380.9527500000004,2315.8485732421877,2325.149169921875,113989000
2021-02-19,2371.65234375,2380.9529411764706,2306.548161764706,2325.1493566176473,102020400
2021-02-22,2371.65234375,2418.155330882353,2371.65234375,2399.554136029412,107680600
2021-02-23,2353.051025390625,2371.652219267231,2343.750428452322,2343.750428452322,89107800
2021-02-24,2371.65234375,2380.9529411764706,2353.0511488970587,2362.3517463235294,82498600
2021-02-25,2334.44970703125,2408.8544785700947,2334.44970703125,2390.253285685383,133614800
2021-02-26,2287.946533203125,2353.050702847116,2269.34534187627,2297.2471288665524,246190600
2021-03-01,2446.056884765625,2455.3574812856464,2315.848533485326,2315.848533485326,220785400
2021-03-02,2455.357666015625,2473.9588604551373,2418.1552771366005,2473.9588604551373,163296600
2021-03-03,2455.357666015625,2483.2594576748934,2427.4558743563566,2483.2594576748934,78532200
2021-03-04,2436.756591796875,2473.958982511331,2427.455994118261,2464.6583848327173,120612600
2021-03-05,2408.8544921875,2446.0568781672296,2399.5538956925675,2427.455685177365,87239000
2021-03-08,2390.25341796875,2446.056999711211,2371.6522240545964,2436.7564027541343,54098000
2021-03-09,2390.25341796875,2427.4558057970576,2371.6522240545964,2371.6522240545964,111838800
2021-03-10,2418.155029296875,2418.155029296875,2399.5538367638223,2418.155029296875,51903000
2021-03-12,2501.860595703125,2511.161192713174,2436.7564166327834,2436.7564166327834,159202400
2021-03-15,2473.958740234375,2520.461724073367,2464.658143466577,2520.461724073367,79922400
2021-03-16,2436.756591796875,2501.860775547173,2418.155396439647,2473.958982511331,112248400
2021-03-17,2427.45556640625,2473.9585466056037,2427.45556640625,2455.3573545258623,50841200
2021-03-18,2529.76220703125,2548.3633997300094,2464.658032585593,2464.658032585593,152427600
2021-03-19,2520.461669921875,2529.762266489852,2492.559880217943,2529.762266489852,150713800
2021-03-22,2464.658203125,2539.062979068396,2464.658203125,2511.1611880896226,115979200
2021-03-23,2483.25927734375,2511.1610669768256,2464.6580842550325,2511.1610669768256,97289600
2021-03-24,2471.822265625,2510.294207502432,2462.204280155642,2500.6762220330743,115254200
2021-03-25,2462.204345703125,2491.0583028793335,2433.3503885269165,2481.4403171539307,71666600
2021-03-26,2471.822265625,2491.058236563716,2442.968309216926,2481.4402510943582,84478000
2021-03-29,2452.58642578125,2500.6763556985293,2452.58642578125,2462.2044117647056,79520400
2021-03-30,2433.350341796875,2471.8222839596715,2414.1143707154765,2462.204298418972,41180600
2021-03-31,2366.0244140625,2433.350312023628,2356.4064286394814,2404.496355754573,159155800
2021-04-01,2385.260498046875,2433.3504274429815,2366.0245262884328,2404.4964698053177,77715200
2021-04-05,2394.87841796875,2423.732374811747,2385.260432354418,2423.732374811747,39468400
2021-04-06,2414.1142578125,2423.732242903386,2366.0243323580676,2394.878287630727,29650600
2021-04-07,2433.350341796875,2433.350341796875,2404.4963851747775,2423.732356256176,46420200
2021-04-08,2414.1142578125,2452.586198176046,2385.2603025398407,2404.4962727216134,88449600
2021-04-09,2491.058349609375,2519.9123073268584,2433.3504341744087,2452.586405986064,126420200
2021-04-12,2423.732421875,2500.67630828373,2414.1144360739086,2471.8223508804563,48429000
2021-04-13,2423.732421875,2442.9683934771824,2385.2604786706347,2385.2604786706347,76327000
2021-04-14,2433.350341796875,2462.204298418972,2404.4963851747775,2442.968327337574,80914000
2021-04-15,2423.732421875,2462.204365079365,2394.878464471726,2462.204365079365,68337400
2021-04-16,2423.732421875,2442.9683934771824,2404.4964502728176,2442.9683934771824,63194400
2021-04-19,2394.87841796875,2414.1143891974148,2385.260432354418,2404.496403583082,43598600
2021-04-20,2385.260498046875,2404.4964698053177,2375.642512167654,2385.260498046875,63882600
2021-04-21,2356.406494140625,2375.642465521365,2356.406494140625,2366.024479830995,65425600
2021-04-22,2356.406494140625,2394.8784369021046,2346.7885084502554,2375.642465521365,71452000
2021-04-23,2366.0244140625,2366.0244140625,2317.9344869474085,2327.5524723704266,104928400
2021-04-26,2298.698486328125,2356.406398118789,2289.080501029681,2346.788412820345,115305000
2021-04-27,2327.552490234375,2337.1704757312114,2289.08054824703,2298.6985337438664,96850800
2021-04-28,2385.260498046875,2414.114455684539,2346.78855452999,2346.78855452999,161162600
2021-04-29,2394.87841796875,2414.1143891974148,2366.024461125753,2394.87841796875,82870600
2021-04-30,2375.642333984375,2404.4962894578694,2356.406363668712,2394.878304300038,69941600
2021-05-03,2327.552490234375,2366.02443222172,2308.3165192407027,2346.7884612280477,65334000
2021-05-04,2346.788330078125,2346.788330078125,2298.6984052814423,2327.552360159452,56355200
2021-05-05,2327.552490234375,2366.02443222172,2327.552490234375,2366.02443222172,45851800
2021-05-06,2337.170654296875,2356.406626760224,2317.934681833526,2356.406626760224,37091000
2021-05-07,2289.08056640625,2356.4064654181984,2289.08056640625,2356.4064654181984,65331800
2021-05-10,2298.698486328125,2317.934456925013,2289.080501029681,2317.934456925013,35481400
2021-05-11,2269.844482421875,2308.316422801907,2250.608512231859,2308.316422801907,69381800
2021-05-17,2279.46240234375,2308.316356803797,2260.2264327037183,2298.6983719837813,95099800
2021-05-18,2269.844482421875,2308.316422801907,2240.990527136851,2298.698437706899,73965200
2021-05-19,2183.28271484375,2250.608613539372,2164.046743787858,2231.3726424834804,98436000
2021-05-20,2173.664794921875,2212.1367381948285,2154.4288232853983,2173.664794921875,69610000
2021-05-21,2240.99072265625,2269.844680458691,2183.282807051368,2202.518778919662,140453000
